app_id,due_date,paid_date,due_amount,paid_amount,monthly_income,housing_type,num_of_dependent,lama_bekerja,otr,status_pernikahan,pekerjaan,tenor,dp
1,2018-04-07,2018-04-06,Rp0.0,Rp12000000.0,Rp9295094.0,milik sendiri,3 orang,2 tahun,Rp800000000.0,Belum Nikah,Karyawan Swasta,60,Rp80000000.0
2,2018-02-07,2018-02-07,Rp0.0,Rp12200000.0,Rp9295094.0,milik sendiri,3 orang,2 tahun,Rp800000000.0,Belum Nikah,Karyawan Swasta,60,Rp68000000.0
3,2018-03-07,2018-03-06,Rp0.0,Rp12000000.0,Rp9295094.0,milik sendiri,3 orang,2 tahun,Rp800000000.0,Belum Nikah,Karyawan Swasta,60,Rp80000000.0
4,2018-05-07,2018-05-05,Rp0.0,Rp12000000.0,Rp9295094.0,milik sendiri,3 orang,2 tahun,Rp800000000.0,Belum Nikah,Karyawan Swasta,60,Rp80000000.0
5,2018-06-07,2018-06-06,Rp0.0,Rp12000000.0,Rp9295094.0,milik sendiri,3 orang,2 tahun,Rp800000000.0,Belum Nikah,Karyawan Swasta,60,Rp80000000.0
6,2018-06-01,,Rp13450000.0,Rp0.0,Rp3406971.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp800000000.0
7,2018-05-01,,Rp13200000.0,Rp0.0,Rp3406971.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp800000000.0
8,2018-02-01,2018-01-31,Rp0.0,Rp9540000.0,Rp3406971.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp227600000.0
9,2018-03-01,2018-03-26,Rp0.0,Rp10150000.0,Rp3406971.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp191000000.0
10,2018-04-01,2018-06-04,Rp0.0,Rp11250000.0,Rp3406971.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp125000000.0
11,2018-02-01,2018-01-29,Rp0.0,Rp11000000.0,Rp8680821.0,milik orang tua,3 orang,1 tahun,Rp100000000.0,Belum Nikah,Wiraswasta,12,Rp0.0
12,2018-02-05,2018-01-16,Rp0.0,Rp10900000.0,Rp7300000.0,milik orang tua,2 orang,0 tahun,Rp100000000.0,Belum Nikah,Profesional,12,Rp0.0
13,2018-02-02,2018-02-02,Rp0.0,Rp10830000.0,Rp4500000.0,milik sendiri,0 orang,0 tahun,Rp100000000.0,Belum Nikah,Profesional,12,Rp0.0
14,2018-07-05,,Rp12110000.0,Rp0.0,Rp7840000.0,milik sendiri,1 orang,1 tahun,Rp600000000.0,Nikah,Profesional,48,Rp600000000.0
15,2018-06-05,,Rp12110000.0,Rp0.0,Rp7840000.0,milik sendiri,1 orang,1 tahun,Rp600000000.0,Nikah,Profesional,48,Rp600000000.0
16,2018-05-05,,Rp12110000.0,Rp0.0,Rp7840000.0,milik sendiri,1 orang,1 tahun,Rp600000000.0,Nikah,Profesional,48,Rp600000000.0
17,2018-03-05,2018-06-02,Rp5140000.0,Rp6970000.0,Rp7840000.0,milik sendiri,1 orang,1 tahun,Rp600000000.0,Nikah,Profesional,48,Rp265440000.0
18,2018-04-05,,Rp12110000.0,Rp0.0,Rp7840000.0,milik sendiri,1 orang,1 tahun,Rp600000000.0,Nikah,Profesional,48,Rp600000000.0
19,2018-02-05,2018-06-02,Rp0.0,Rp10140000.0,Rp7840000.0,milik sendiri,1 orang,1 tahun,Rp600000000.0,Nikah,Profesional,48,Rp113280000.0
20,2018-07-02,,Rp7980000.0,Rp0.0,Rp3167794.0,kos,1 orang,5 tahun,Rp200000000.0,Nikah,Profesional,12,Rp200000000.0
21,2018-06-02,,Rp7580000.0,Rp0.0,Rp3167794.0,kos,1 orang,5 tahun,Rp200000000.0,Nikah,Profesional,12,Rp200000000.0
22,2018-02-02,2018-02-01,Rp0.0,Rp4150000.0,Rp3167794.0,kos,1 orang,5 tahun,Rp200000000.0,Nikah,Profesional,12,Rp150200000.0
23,2018-03-02,2018-03-08,Rp0.0,Rp4680000.0,Rp3167794.0,kos,1 orang,5 tahun,Rp200000000.0,Nikah,Profesional,12,Rp143840000.0
24,2018-04-02,2018-04-05,Rp0.0,Rp4130000.0,Rp3167794.0,kos,1 orang,5 tahun,Rp200000000.0,Nikah,Profesional,12,Rp150440000.0
25,2018-05-02,2018-05-28,Rp0.0,Rp4680000.0,Rp3167794.0,kos,1 orang,5 tahun,Rp200000000.0,Nikah,Profesional,12,Rp143840000.0
26,2018-05-01,2018-04-30,Rp0.0,Rp4130000.0,Rp3438883.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp150440000.0
27,2018-02-01,2018-01-30,Rp0.0,Rp4070000.0,Rp3438883.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp151160000.0
28,2018-04-01,2018-03-30,Rp0.0,Rp4130000.0,Rp3438883.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp150440000.0
29,2018-06-01,2018-05-30,Rp0.0,Rp4130000.0,Rp3438883.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp150440000.0
30,2018-07-01,2018-06-12,Rp0.0,Rp4130000.0,Rp3438883.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp150440000.0
31,2018-03-01,2018-02-28,Rp0.0,Rp4130000.0,Rp3438883.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp150440000.0
32,2018-02-28,2018-02-28,Rp0.0,Rp10560000.0,Rp5062721.0,milik sendiri,9 orang,0 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp119840000.0
33,2018-05-28,2018-05-28,Rp0.0,Rp9600000.0,Rp5062721.0,milik sendiri,9 orang,0 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp154400000.0
34,2018-03-28,2018-03-27,Rp0.0,Rp9600000.0,Rp5062721.0,milik sendiri,9 orang,0 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp154400000.0
35,2018-04-28,2018-04-26,Rp0.0,Rp9600000.0,Rp5062721.0,milik sendiri,9 orang,0 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp154400000.0
36,2018-06-28,2018-06-25,Rp0.0,Rp9600000.0,Rp5062721.0,milik sendiri,9 orang,0 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp154400000.0
37,2018-04-01,2018-03-23,Rp0.0,Rp11600000.0,Rp16407965.0,milik orang tua,0 orang,2 tahun,Rp500000000.0,Nikah,Profesional,36,Rp82400000.0
38,2018-02-01,2018-01-27,Rp0.0,Rp11540000.0,Rp16407965.0,milik orang tua,0 orang,2 tahun,Rp500000000.0,Nikah,Profesional,36,Rp84560000.0
39,2018-03-01,2018-02-28,Rp0.0,Rp11600000.0,Rp16407965.0,milik orang tua,0 orang,2 tahun,Rp500000000.0,Nikah,Profesional,36,Rp82400000.0
40,2018-05-01,2018-04-28,Rp0.0,Rp11600000.0,Rp16407965.0,milik orang tua,0 orang,2 tahun,Rp500000000.0,Nikah,Profesional,36,Rp82400000.0
41,2018-02-01,2018-01-29,Rp0.0,Rp4100000.0,Rp6430000.0,milik sendiri,0 orang,0 tahun,Rp200000000.0,Belum Nikah,Profesional,12,Rp150800000.0
42,2018-04-01,2018-03-29,Rp0.0,Rp4130000.0,Rp6430000.0,milik sendiri,0 orang,0 tahun,Rp200000000.0,Belum Nikah,Profesional,12,Rp150440000.0
43,2018-05-01,2018-04-30,Rp0.0,Rp4130000.0,Rp6430000.0,milik sendiri,0 orang,0 tahun,Rp200000000.0,Belum Nikah,Profesional,12,Rp150440000.0
44,2018-06-01,2018-05-30,Rp0.0,Rp4130000.0,Rp6430000.0,milik sendiri,0 orang,0 tahun,Rp200000000.0,Belum Nikah,Profesional,12,Rp150440000.0
45,2018-07-01,2018-05-31,Rp0.0,Rp4130000.0,Rp6430000.0,milik sendiri,0 orang,0 tahun,Rp200000000.0,Belum Nikah,Profesional,12,Rp150440000.0
46,2018-03-01,2018-02-26,Rp0.0,Rp4130000.0,Rp6430000.0,milik sendiri,0 orang,0 tahun,Rp200000000.0,Belum Nikah,Profesional,12,Rp150440000.0
47,2018-02-01,2018-01-28,Rp0.0,Rp14360000.0,Rp14514000.0,kontrak,1 orang,1 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp0.0
48,2018-03-01,2018-02-26,Rp0.0,Rp14500000.0,Rp14514000.0,kontrak,1 orang,1 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp0.0
49,2018-05-01,2018-04-20,Rp0.0,Rp14500000.0,Rp14514000.0,kontrak,1 orang,1 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp0.0
50,2018-04-01,2018-03-30,Rp0.0,Rp14500000.0,Rp14514000.0,kontrak,1 orang,1 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp0.0
51,2018-07-05,2018-06-05,Rp0.0,Rp6200000.0,Rp3500000.0,milik sendiri,0 orang,0 tahun,Rp400000000.0,Belum Nikah,Wiraswasta,36,Rp176800000.0
52,2018-02-05,2018-02-05,Rp0.0,Rp5840000.0,Rp3500000.0,milik sendiri,0 orang,0 tahun,Rp400000000.0,Belum Nikah,Wiraswasta,36,Rp189760000.0
53,2018-03-05,2018-03-05,Rp0.0,Rp6200000.0,Rp3500000.0,milik sendiri,0 orang,0 tahun,Rp400000000.0,Belum Nikah,Wiraswasta,36,Rp176800000.0
54,2018-04-05,2018-04-09,Rp0.0,Rp6200000.0,Rp3500000.0,milik sendiri,0 orang,0 tahun,Rp400000000.0,Belum Nikah,Wiraswasta,36,Rp176800000.0
